pathway,image,path_name,point,radius,gradient,eccentricity,std_dev
files/cabg5_CLEAN/left_common_carotid/83,cabg5_CLEAN,left_common_carotid,83,10.734438914006276,0.10100000351667404,0.764,0.103
files/cabg5_CLEAN/left_common_carotid/37,cabg5_CLEAN,left_common_carotid,37,11.141851534268367,0.06700000166893005,0.68,0.052
files/cabg5_CLEAN/left_common_carotid/20,cabg5_CLEAN,left_common_carotid,20,11.914957374576321,0.11800000071525574,0.59,0.099
files/cabg5_CLEAN/left_common_carotid/47,cabg5_CLEAN,left_common_carotid,47,11.127557940783529,0.10999999940395355,0.588,0.089
files/cabg5_CLEAN/left_common_carotid/67,cabg5_CLEAN,left_common_carotid,67,10.689866656791414,0.0729999989271164,0.724,0.06
files/cabg5_CLEAN/left_common_carotid/28,cabg5_CLEAN,left_common_carotid,28,12.166104433032896,0.061000000685453415,0.549,0.074
files/cabg5_CLEAN/left_common_carotid/59,cabg5_CLEAN,left_common_carotid,59,11.576202403352141,0.0689999982714653,0.66,0.074
files/cabg5_CLEAN/left_common_carotid/75,cabg5_CLEAN,left_common_carotid,75,10.645107772184812,0.09600000083446503,0.665,0.1
files/cabg5_CLEAN/circumflex_coronary_artery_2/21,cabg5_CLEAN,circumflex_coronary_artery_2,21,5.201570947860099,0.03799999877810478,0.718,0.043
files/cabg5_CLEAN/circumflex_coronary_artery_2/37,cabg5_CLEAN,circumflex_coronary_artery_2,37,4.853342309955121,0.0430000014603138,0.65,0.037
files/cabg5_CLEAN/circumflex_coronary_artery_2/51,cabg5_CLEAN,circumflex_coronary_artery_2,51,5.585191925620057,0.07699999958276749,0.7,0.077
files/cabg5_CLEAN/circumflex_coronary_artery_2/29,cabg5_CLEAN,circumflex_coronary_artery_2,29,5.201570947860099,0.041999999433755875,0.783,0.045
files/cabg5_CLEAN/circumflex_coronary_artery_2/58,cabg5_CLEAN,circumflex_coronary_artery_2,58,5.170882945826411,0.14399999380111694,0.782,0.145
files/cabg5_CLEAN/right_common_carotid/31,cabg5_CLEAN,right_common_carotid,31,7.001408606295148,0.10499999672174454,0.65,0.104
files/cabg5_CLEAN/right_common_carotid/51,cabg5_CLEAN,right_common_carotid,51,6.555290583552474,0.07800000160932541,0.615,0.053
files/cabg5_CLEAN/right_common_carotid/42,cabg5_CLEAN,right_common_carotid,42,6.886811529393324,0.11100000143051147,0.554,0.107
files/cabg5_CLEAN/right_common_carotid/18,cabg5_CLEAN,right_common_carotid,18,6.90988298942671,0.13699999451637268,0.717,0.114
files/cabg5_CLEAN/right_coronary_artery/47,cabg5_CLEAN,right_coronary_artery,47,6.180387232371033,0.05900000035762787,0.635,0.066
files/cabg5_CLEAN/right_coronary_artery/33,cabg5_CLEAN,right_coronary_artery,33,6.746726148605861,0.164000004529953,0.645,0.168
files/cabg5_CLEAN/right_coronary_artery/25,cabg5_CLEAN,right_coronary_artery,25,6.407961869245868,0.05999999865889549,0.702,0.066
files/cabg5_CLEAN/right_coronary_artery/39,cabg5_CLEAN,right_coronary_artery,39,5.641895835477563,0.11900000274181366,0.71,0.092
files/cabg5_CLEAN/left_anterior_descending_artery/40,cabg5_CLEAN,left_anterior_descending_artery,40,5.641895835477563,0.04500000178813934,0.689,0.047
files/cabg5_CLEAN/left_anterior_descending_artery/20,cabg5_CLEAN,left_anterior_descending_artery,20,5.556622981616415,0.03799999877810478,0.783,0.043
files/cabg5_CLEAN/left_anterior_descending_artery/33,cabg5_CLEAN,left_anterior_descending_artery,33,5.527906391541368,0.041999999433755875,0.816,0.034
files/cabg5_CLEAN/left_anterior_descending_artery/72,cabg5_CLEAN,left_anterior_descending_artery,72,5.944106103225343,0.04699999839067459,0.725,0.045
files/cabg5_CLEAN/left_anterior_descending_artery/25,cabg5_CLEAN,left_anterior_descending_artery,25,6.154581744998688,0.11999999731779099,0.592,0.186
files/cabg5_CLEAN/left_anterior_descending_artery/49,cabg5_CLEAN,left_anterior_descending_artery,49,5.753627391751592,0.04699999839067459,0.79,0.042
files/cabg5_CLEAN/left_anterior_descending_artery/62,cabg5_CLEAN,left_anterior_descending_artery,62,6.050259243299904,0.041999999433755875,0.662,0.052
files/cabg5_CLEAN/left_anterior_descending_artery/80,cabg5_CLEAN,left_anterior_descending_artery,80,6.432750982580687,0.04399999976158142,0.759,0.051
files/cabg5_CLEAN/left_subclavian/56,cabg5_CLEAN,left_subclavian,56,16.312788383647018,0.04100000113248825,0.571,0.023
files/cabg5_CLEAN/left_subclavian/76,cabg5_CLEAN,left_subclavian,76,11.753573524837677,0.041999999433755875,0.659,0.03
files/cabg5_CLEAN/left_subclavian/61,cabg5_CLEAN,left_subclavian,61,18.062879984608916,0.0560000017285347,0.694,0.036
files/cabg5_CLEAN/left_subclavian/41,cabg5_CLEAN,left_subclavian,41,15.696236870863475,0.0430000014603138,0.57,0.026
files/cabg5_CLEAN/left_subclavian/31,cabg5_CLEAN,left_subclavian,31,17.094106455639025,0.04699999839067459,0.659,0.034
files/cabg5_CLEAN/left_subclavian/46,cabg5_CLEAN,left_subclavian,46,16.727055627203253,0.06499999761581421,0.547,0.052
files/cabg5_CLEAN/left_subclavian/51,cabg5_CLEAN,left_subclavian,51,16.774562271083887,0.050999999046325684,0.665,0.044
files/cabg5_CLEAN/left_subclavian/67,cabg5_CLEAN,left_subclavian,67,14.149802769282841,0.04699999839067459,0.486,0.055
files/cabg5_CLEAN/left_subclavian/71,cabg5_CLEAN,left_subclavian,71,12.126795430653198,0.050999999046325684,0.73,0.04
files/cabg5_CLEAN/left_subclavian/23,cabg5_CLEAN,left_subclavian,23,18.17706417050825,0.04100000113248825,0.586,0.034
files/cabg5_CLEAN/aorta/83,cabg5_CLEAN,aorta,83,31.619793682174567,0.039000000804662704,0.427,0.027
files/cabg5_CLEAN/aorta/76,cabg5_CLEAN,aorta,76,31.493707392885515,0.04600000008940697,0.425,0.021
files/cabg5_CLEAN/aorta/36,cabg5_CLEAN,aorta,36,32.54743156102575,0.05400000140070915,0.418,0.026
files/cabg5_CLEAN/aorta/50,cabg5_CLEAN,aorta,50,31.199224861365256,0.04800000041723251,0.442,0.03
files/cabg5_CLEAN/aorta/10,cabg5_CLEAN,aorta,10,46.68136117139507,0.05999999865889549,0.428,0.038
files/cabg5_CLEAN/aorta/67,cabg5_CLEAN,aorta,67,31.91039526395664,0.04699999839067459,0.498,0.024
files/cabg5_CLEAN/aorta/29,cabg5_CLEAN,aorta,29,34.52176435050956,0.09300000220537186,0.368,0.045
files/cabg5_CLEAN/aorta/23,cabg5_CLEAN,aorta,23,38.065031221695,0.09000000357627869,0.506,0.061
files/cabg5_CLEAN/aorta/59,cabg5_CLEAN,aorta,59,32.2280182235537,0.050999999046325684,0.441,0.023
files/cabg5_CLEAN/aorta/43,cabg5_CLEAN,aorta,43,31.960231926001168,0.054999999701976776,0.39,0.023
files/cabg5_CLEAN/aorta/14,cabg5_CLEAN,aorta,14,38.302614341857804,0.14300000667572021,0.432,0.071
files/cabg5_CLEAN/right_marginal_coronary_artery/17,cabg5_CLEAN,right_marginal_coronary_artery,17,4.068428945128219,0.09399999678134918,0.763,0.073
files/OSMSC0099/Left_PA_9/187,OSMSC0099,Left_PA_9,187,3.1915382432114616,0.10999999940395355,0.485,0.153
files/OSMSC0099/Left_PA_9/113,OSMSC0099,Left_PA_9,113,2.9316150714175193,0.18700000643730164,0.833,0.231
files/OSMSC0099/Left_PA_9/156,OSMSC0099,Left_PA_9,156,3.2410224072142872,0.11699999868869781,0.678,0.156
files/OSMSC0099/Left_PA_7/174,OSMSC0099,Left_PA_7,174,3.9088200952233594,0.22300000488758087,0.656,0.396
files/OSMSC0099/Left_PA_7/133,OSMSC0099,Left_PA_7,133,3.742410318509555,0.28999999165534973,0.654,0.289
files/OSMSC0099/Left_PA_7/91,OSMSC0099,Left_PA_7,91,3.8678889139475245,0.2750000059604645,0.666,0.257
files/OSMSC0099/Left_PA_1/175,OSMSC0099,Left_PA_1,175,4.982787485166879,0.16899999976158142,0.577,0.223
files/OSMSC0099/Left_PA_1/139,OSMSC0099,Left_PA_1,139,6.407961869245868,0.11299999803304672,0.612,0.175
files/OSMSC0099/Left_PA_1/92,OSMSC0099,Left_PA_1,92,9.557977680176279,0.1469999998807907,0.723,0.236
files/OSMSC0099/Left_PA_1/235,OSMSC0099,Left_PA_1,235,4.982787485166879,0.18700000643730164,0.577,0.299
files/OSMSC0099/Left_PA_1/73,OSMSC0099,Left_PA_1,73,9.557977680176279,0.125,0.723,0.281
files/OSMSC0099/Left_PA_8/201,OSMSC0099,Left_PA_8,201,3.7846987830302403,0.25600001215934753,0.659,0.343
files/OSMSC0099/Left_PA_8/89,OSMSC0099,Left_PA_8,89,3.9088200952233594,0.29899999499320984,0.616,0.276
files/OSMSC0099/Left_PA_8/50,OSMSC0099,Left_PA_8,50,3.656366395715726,0.20000000298023224,0.72,0.123
files/OSMSC0099/Left_PA_8/69,OSMSC0099,Left_PA_8,69,3.826519928662906,0.30300000309944153,0.65,0.283
files/OSMSC0099/Left_PA_8/131,OSMSC0099,Left_PA_8,131,3.742410318509555,0.3580000102519989,0.66,0.326
files/OSMSC0099/Left_PA_8/160,OSMSC0099,Left_PA_8,160,3.826519928662906,0.31299999356269836,0.65,0.38
files/OSMSC0099/Right_PA_4/196,OSMSC0099,Right_PA_4,196,5.077706251929807,0.164000004529953,0.58,0.25
files/OSMSC0099/Right_PA_4/88,OSMSC0099,Right_PA_4,88,5.077706251929807,0.14900000393390656,0.696,0.274
files/OSMSC0099/Right_PA_4/147,OSMSC0099,Right_PA_4,147,5.232078956954491,0.10700000077486038,0.822,0.265
files/OSMSC0099/Right_PA_3/56,OSMSC0099,Right_PA_3,56,8.234075889688375,0.16500000655651093,0.767,0.301
files/OSMSC0099/Right_PA_3/171,OSMSC0099,Right_PA_3,171,6.333012368467128,0.20499999821186066,0.723,0.312
files/OSMSC0099/Right_PA_2/166,OSMSC0099,Right_PA_2,166,6.6755811781245455,0.13300000131130219,0.55,0.239
files/OSMSC0099/Right_PA_5/95,OSMSC0099,Right_PA_5,95,7.48482063701911,0.16099999845027924,0.599,0.231
files/OSMSC0099/Right_PA_5/151,OSMSC0099,Right_PA_5,151,6.6036697681803656,0.1679999977350235,0.687,0.161
files/OSMSC0099/Right_PA_10/214,OSMSC0099,Right_PA_10,214,5.170882945826411,0.21199999749660492,0.528,0.309
files/OSMSC0099/Right_PA_10/100,OSMSC0099,Right_PA_10,100,5.140011726956917,0.1979999989271164,0.576,0.174
files/OSMSC0099/Right_PA_10/160,OSMSC0099,Right_PA_10,160,5.170882945826411,0.20600000023841858,0.608,0.187
files/OSMSC0099/SVC/112,OSMSC0099,SVC,112,19.762748552453708,0.09200000017881393,0.745,0.144
files/OSMSC0099/SVC/87,OSMSC0099,SVC,87,20.53681083307539,0.10000000149011612,0.762,0.148
files/OSMSC0099/SVC/204,OSMSC0099,SVC,204,20.51354843840946,0.05900000035762787,0.682,0.132
files/OSMSC0099/SVC/176,OSMSC0099,SVC,176,19.601021213799942,0.061000000685453415,0.656,0.13
files/OSMSC0099/Left_PA_4/41,OSMSC0099,Left_PA_4,41,5.499039842323396,0.19599999487400055,0.675,0.279
files/OSMSC0099/Left_PA_4/92,OSMSC0099,Left_PA_4,92,6.432750982580687,0.17299999296665192,0.565,0.396
